,fecha,estado,casos
952,2020-01-30,25,0
953,2020-01-30,26,0
954,2020-01-30,27,0
955,2020-01-30,28,0
956,2020-01-30,29,0
957,2020-01-30,30,0
958,2020-01-30,31,0
959,2020-01-30,32,0
960,2020-01-31,1,0
961,2020-01-31,2,0
962,2020-01-31,3,0
963,2020-01-31,4,0
964,2020-01-31,5,0
965,2020-01-31,6,0
966,2020-01-31,7,0
967,2020-01-31,8,0
968,2020-01-31,9,0
969,2020-01-31,10,0
970,2020-01-31,11,0
971,2020-01-31,12,0
972,2020-01-31,13,0
973,2020-01-31,14,0
974,2020-01-31,15,0
975,2020-01-31,16,0
976,2020-01-31,17,0
977,2020-01-31,18,0
978,2020-01-31,19,0
979,2020-01-31,20,0
980,2020-01-31,21,0
981,2020-01-31,22,0
982,2020-01-31,23,0
983,2020-01-31,24,0
984,2020-01-31,25,0
985,2020-01-31,26,0
986,2020-01-31,27,0
987,2020-01-31,28,0
988,2020-01-31,29,0
989,2020-01-31,30,0
990,2020-01-31,31,0
991,2020-01-31,32,0
992,2020-02-01,1,0
993,2020-02-01,2,0
994,2020-02-01,3,0
995,2020-02-01,4,0
996,2020-02-01,5,0
997,2020-02-01,6,0
998,2020-02-01,7,0
999,2020-02-01,8,0
1000,2020-02-01,9,0
1001,2020-02-01,10,0
1002,2020-02-01,11,0
1003,2020-02-01,12,0
1004,2020-02-01,13,0
1005,2020-02-01,14,0
1006,2020-02-01,15,0
1007,2020-02-01,16,0
1008,2020-02-01,17,0
1009,2020-02-01,18,0
1010,2020-02-01,19,0
1011,2020-02-01,20,0
1012,2020-02-01,21,0
1013,2020-02-01,22,0
1014,2020-02-01,23,0
1015,2020-02-01,24,0
1016,2020-02-01,25,0
1017,2020-02-01,26,0
1018,2020-02-01,27,0
1019,2020-02-01,28,0
1020,2020-02-01,29,0
1021,2020-02-01,30,0
1022,2020-02-01,31,0
1023,2020-02-01,32,0
1024,2020-02-02,1,0
1025,2020-02-02,2,0
1026,2020-02-02,3,0
1027,2020-02-02,4,0
1028,2020-02-02,5,0
1029,2020-02-02,6,0
1030,2020-02-02,7,0
1031,2020-02-02,8,0
1032,2020-02-02,9,0
1033,2020-02-02,10,0
1034,2020-02-02,11,0
1035,2020-02-02,12,0
1036,2020-02-02,13,0
